"id","year","tif_number","status","url"
"181","2000","14","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_014_CentralLoopAR00.pdf"
"182","2000","15","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_015_ChathamRidgeAR00.pdf"
"183","2000","17","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_017_DivisionHookerAR00.pdf"
"184","2000","18","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_018_DivisionNorthBranchAR00.pdf"
"185","2000","19","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_019_EastmanNorthBranchAR00.pdf"
"186","2000","20","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_020_EdgewaterAR00.pdf"
"187","2000","21","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_021_EnglewoodMallAR00.pdf"
"188","2000","22","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_022_FullertonNormandyAR00.pdf"
"189","2000","24","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_024_HomanArthingtonAR00.pdf"
"190","2000","25","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_025_HomanGrandTrunkAR00.pdf"
"191","2000","26","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_026_HowardPaulinaAR00.pdf"
"192","2000","27","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_027_IrvingCiceroAR00.pdf"
"193","2000","28","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_028_LincolnBelmontAshlandAR00.pdf"
"194","2000","29","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_029_MichiganCermakAR00.pdf"
"195","2000","30","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_030_NearNorthAR00.pdf"
"196","2000","31","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_031_NearSouthAR00.pdf"
"197","2000","32","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_032_NearWestAR00.pdf"
"198","2000","33","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_033_NorthBranchNorthAR00.pdf"
"199","2000","34","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_034_NorthBranchSouthAR00.pdf"
"200","2000","35","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_035_NorthCiceroAR00.pdf"
"201","2000","36","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_036_ReadDunningAR00.pdf"
"202","2000","37","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_037_RiverSouthAR00.pdf"
"203","2000","38","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_038_RooseveltCiceroAR00.pdf"
"204","2000","39","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_039_RooseveltCanalAR00.pdf"
"205","2000","41","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_041_RyanGarfieldAR00.pdf"
"206","2000","42","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_042_SanitaryDrainageShipCanalAR00.pdf"
"207","2000","43","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_043_StockyardsAnnexAR00.pdf"
"208","2000","45","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_045_StockyardsSEQuadrantAR00.pdf"
"209","2000","46","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_046_WestGrandAR00.pdf"
"210","2000","47","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_047_WestRidgePetersonAR00.pdf"
"211","2000","49","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_049_89thStateAR00.pdf"
"212","2000","50","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_050_WestPullmanAR00.pdf"
"213","2000","51","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_051_26thKostnerAR00.pdf"
"214","2000","52","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_052_KinzieAR00.pdf"
"215","2000","53","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_053_PilsenAR00.pdf"
"216","2000","54","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_054_StonyIslandBurnsideAR00.pdf"
"217","2000","55","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_055_43rdCottageGroveAR00.pdf"
"218","2000","56","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_056_79thAR00.pdf"
"219","2000","58","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_058_PortageParkAR00.pdf"
"220","2000","59","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_059_CalumetCermakAR00.pdf"
"221","2000","60","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_060_71stStonyIslandAR00.pdf"
"222","2000","61","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_061_BronzevilleAR00.pdf"
"223","2000","62","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_062_RooseveltRacineAR00.pdf"
