tif_name,tif_year,tif_number,property_tax_extraction,expenses,transfers_in,transfers_out,distribution,fund_balance_end
Western Avenue North,2002,84,1466342,42797,0,0,0,1901725
Western Avenue South,2002,85,510686,9107,0,0,0,502496
Central West,2002,86,1397263,561579,0,0,0,4674405
Fullerton/Milwaukee,2002,87,1187931,43468,0,0,0,2567007
Lawrence/Kedzie,2002,88,1505575,1340394,0,0,0,1447456
Midway Industrial Corridor,2002,89,174389,65030,0,0,0,216666
Peterson/Cicero,2002,90,0,0,0,0,0,0
Peterson/Pulaski,2002,91,337355,69495,0,0,0,512178
Greater Southwest Industrial Corridor (West),2002,92,920233,21138,0,0,0,1223332
South Chicago,2002,93,340519,1250461,0,0,0,606440
Chicago/Kingsbury,2002,94,614609,15205,0,0,0,780034
Midwest,2002,95,2467535,3760143,0,0,0,5856291
Cicero/Archer,2002,96,181751,3960,0,0,0,236178
