labels,examples,where_at
miscellaneous,"29231, 29231 | 4619764, 4619764 | 4250030 | 106369","2020_91, 2006_14, 2007_14, 2008_14"
fund balance/net assets (deficit):,,"2002_14, 2004_14, 2005_14, 2006_14"
investment income,"8371801, 8407178 | 2456549, 2456549 | 2550007, 2550007 | 5428064, 5428064","2001_14, 2002_14, 2004_14, 2005_14"
over (under) expenditures and other,,"1997_36, 1997_45, 1997_44, 2001_14, 2002_14"
"costs of rehabilitation, reconstruction, repair or remodeling and",,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
costs of reimbursing private developers for interest expenses,,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
payments in lieu of taxes. (q)(9),,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
"costs of studies, admin., and professional services. (q)(1)",2618948 | 2829 | 2322359 | 1406,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
ecomonic development projects,"119659, 119659 | 1647697, 1647697 | 84393, 84393 | 114440, 114440 | 1146009, 1146009","2005_32, 2005_36, 2005_58, 2005_67, 2005_106"
site improvement costs. (q)(2),9073119,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
"property assembly, demolition, site preparation and environmental",,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
proceeds of debt (note 3),"14503517, (14503517) | 3489957, (3489957) | 49797777, (49797777) | 30373738, (30373738) | 74257108, (74257108)","2020_88, 2020_146, 2007_75, 2007_95, 2007_115"
"costs of job training, retraining advanced vocational or career",,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
excess of revenue and other financing,,"2007_144, 2007_146, 2010_172, 2013_50, 2019_164"
fund baiance/net assets:,,"2008_39, 2008_102, 2008_135, 2012_32, 2012_96"
relocation costs. (q)(8),,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
financing uses,"528386, 1515971 | 9162886, (351051) | 1575101, (627816) | (54363269), 97976785 | (54513743), 54513743","1997_36, 1997_45, 1997_44, 2001_14, 2002_14"
education provided by other taxing bodies. (q)(10),“,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
costs of construction of public works and improvements. (q)(4),12967502 | 152724071,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
expenditures:,,"2001_14, 2002_14, 2004_14, 2005_14, 2006_14"
over (under) expenditures,"(1540349), 1797517 | (24079208), 2597092 | (1459413), 4534852 | (45075), 857269 | (66792), 210925","1998_1, 1999_37, 2001_23, 2001_57, 2001_61"
:,,"2004_56, 2005_88, 2007_75, 2009_71, 2013_101"
approved capital costs of overlapping taxing districts. (q)(7),,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
marketing costs. (q)(1.6),,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
financing costs. (q)(6),73212614 | 168521124,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
cost of day care services and operational costs of day care centers.,,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
cost of job training and retraining. (q)(5),831656 | 860721,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
by tif assisted housing projects (q)(7.5),,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
cost of reimbursing school district for their increase costs caused,,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
tota! revenues,"2495775, (44874), 2450901 | 1513159, 415145, 1928304 | 1128606, (6223), 1122383 | 534678, 15106, 549784 | 10619099, 1402740, 12021839","2005_48, 2006_43, 2012_28, 2015_24, 2015_53"
costs of construction of new housing units for low income and very,,"2007_14, 2007_50, 2008_14, 2008_154, 2009_120"
other revenue,"57272, 57272 | 137537, 137537 | 987111, 987111 | 72623, 72623 | 355618, 355618","2020_4, 2020_76, 2020_118, 2019_166, 2019_169"
interest expense,"15094172, 6072654 | 12426080, 4373146, 16799226 | 8613546, 9319882, 17933428 | 10143129, 9691021, 19834150 | 14441880, (4977292), 9464588","2001_14, 2002_14, 2004_14, 2005_14, 2006_14"
tax liability distribution (note 2),"(76395), (76395) | (124084), (124084) | (196585), (196585) | (153595), (153595) | (159471), (159411) | (83060), (83060)","2009_7, 2012_152, 2012_160, 2012_165, 2013_163, 2013_166"
bond issuance costs,"249311 | 30225, 243665 | 646322 | 1155140 | 4969533 | 428121","1997_42, 1997_36, 1999_28, 1999_30, 2001_14, 2001_23"
other financing uses,"9577504, (9577504) | 18440989, (18440989)","1997_20, 1998_20, 2001_41, 2004_31, 2006_14, 2012_24, 2012_57"
liquor tax,"147198, 147198 | 67799, 67799 | 49371, 49371 | 233572, 233572 | 168046, 168046 | 150892, 150892 | 20267, 20267","2002_18, 2003_18, 2004_18, 2005_18, 2007_18, 2008_18, 2009_18"
"beginning of year, as restated (note 4)","3588000, 1127411, 4715411 | 32578230, 852079, 33430309 | 9568912, (24212877), (14643965) | (52391), 30282, (22109) | 9000524, 9000524 | 1482249, (280000), 1202249 | 113025, 80043, 193068","2012_29, 2012_147, 2012_146, 2012_154, 2013_92, 2013_144, 2013_166"
_,,"1998_11, 2004_123, 2005_25, 2006_44, 2008_10, 2009_10, 2009_156"
surplus distribution (note 4),"(16445000), (16445000) | (607000), (607000) | (1623019), (1623019) | (1000000), (1000000) | (1933000), (1933000) | (307100), (307100) | (1209000), (1209000) | (6830200), (6830200)","2020_53, 2020_87, 2021_88, 2011_95, 2016_53, 2017_23, 2017_53, 2018_53"
property tax $,"37570 | 356739, 348657 | 2348743, 2033967 | 29682, 1194 | 234671, 154712 | 357821, 377038 | 239, 38362 | 13120","1997_13, 1997_41, 1997_44, 1998_1, 1998_9, 2001_9, 2001_73, 2007_50"
excess of expenditures over revenue,"(298350), 50000, (248350) | (1694), 1694 | (19997895), (19997895) | (1705), 1705 | (6146), 6146 | (1834833), (1122802), (2957635) | (185194), (185194) | (1047), (1047) | (5145), 5145","2007_144, 2010_7, 2010_172, 2011_7, 2012_50, 2012_121, 2013_50, 2014_50, 2014_135"
"beginning of year, as restated (note 3)","2974886, 600000, 3574886 | 2210271, 303678, 2573949 | 731437, 42370, 773807 | 1803990, 74968, 1878958 | 1676641, 172845, 1849486 | 823676, 131774, 955450 | 894933, 894933 | 14638952, 1833127, 16472079 | 2194305, 2609, 2196914","2005_92, 2012_134, 2012_148, 2012_152, 2012_153, 2012_165, 2012_169, 2013_103, 2013_155"
excess of revenue over expenditures,"6466, (6466) | 198948, (198948) | 4021, (4021) | 9902, (4577), 325 | 46, (46) | 168502, (93147), 75355","2020_112, 2020_118, 2006_7, 2006_124, 2007_7, 2007_146, 2008_7, 2012_160, 2019_112, 2019_118"
,"579781, 1503240 | 3964, 3964 | 9011, 9011 | 1985428, 1985428 | 58428, 58428 | 92080, 92080 | 143453 | 69703, 69703 | ° | ee | ea | 7","1997_28, 2004_93, 2006_19, 2006_53, 2006_74, 2006_75, 2006_85, 2006_98, 2008_38, 2008_42, 2008_123, 2016_90"
expenditures over revenues,"1040219 | (34049) | 1048632 | (10312114), (351051) | 11481282), (627816) | 70625, 49228 | 1459413, 12265148 | 1379509, 23908771 | 500149, 587881 | 66792, 439075 | 1197512 | (44920743), 29413927, (15506816) | (39483627), 39483627 | (258126701)","1997_13, 1997_32, 1997_37, 1997_45, 1997_44, 2001_18, 2001_23, 2001_30, 2001_44, 2001_61, 2001_86, 2002_14, 2004_14, 2008_14"
